level1; level2; odorant
Vegetable; green; dimethylheptenal|hexanol|methyl-2-butenal|hexyl octanoate|nonanoic acid|(Z)-2-penten-1-ol|isobutyl thiazole|(E)-2-nonenal|2-dodecenal|(Z)-4-decenal|2-octenal|2-hepten-1-al|bicyclogermacrene|α-thujene|(-)-γ-elemene|2,4-octadienal|fucoserratene|valencene|β-eudesmol|1-hexenol|viridiflorol|2,6-nonadienal|elemol|3-hexenal|(+)-(E)-limonene oxide|cis-isocitral|dimethyloctadienal|bornyl formate|bornyl isovalerate|2,4-hexadienal|(E)-2-hexenal|menthone|coumarin|2-hexenol|(E)-2-hexenol
Vegetable; green bean; pentylfuran
Vegetable; green leaf; 2-octenal
Vegetable; green pepper; isobutylmethoxypyrazine
Vegetable; herb; hexyl octanoate|α-thujene|α-cadinol|cuminic alcohol|bornyl isovalerate|1,5-octadien-3-ol
Vegetable; leaf; 3-hexenal|(E)-2-hexenal|2-hexenol|(E)-2-hexenol
Vegetable; meat; diethylmethyl pyrazine
Vegetable; melon; dimethylheptenal
Vegetable; metal; hexenone
Vegetable; moss; β-caryophyllene alcohol|caryophyllene alcohol|octanol|(E)-3-hexenol
Vegetable; mushroom; 2-octanol|(E)-2-penten-1-ol|heptanol|octanol
Vegetable; must; methyldihydrothiophenone|(Z)-4-decenal
Vegetable; nut; hydroxypentanone|octanol
Vegetable; oil; hexyl octanoate|(-)-γ-elemene|valencene
Vegetable; onion; methyldihydrothiophenone|methyltetrahydrofuranthiol|mercaptobutanone
Vegetable; orris; 2-nonenal
Vegetable; pea; isopropylmethoxypyrazine
Vegetable; phenol; o-cresol
Vegetable; pine; β-pinene|bornyl benzoate|α-pinene
Vegetable; plastic; (Z)-2-penten-1-ol|fucoserratene
Vegetable; potato; 2,5-dimethyl-3-ethylpyrazine|ethyldimethylpyrazine|diethylmethyl pyrazine|methionol
Vegetable; pungent; methylpentanol
Vegetable; resin; hexanol|β-pinene
Vegetable; roast; 2,5-dimethyl-3-ethylpyrazine|dimethylethyl pyrazine|methylethyl pyrazine|diethylmethyl pyrazine
Vegetable; roasted nut; methyl-2-(methylthio)acetate
Vegetable; rubber; (Z)-2-penten-1-ol
Vegetable; seaweed; 2,4-octadienal|2,4-decadienal
Vegetable; spice; cadina-1,4-dien-3-ol|germacrene B|isodihydrocarveol|germacrene D|isobutylmethoxypyrazine|α-copaene|dill apiol|caryophyllene alcohol|β-caryophyllene|β-guaiene
Vegetable; sulfur; dimethyl tetrasulfide|dimethyl sulfide
Vegetable; sweet; β-farnesene|2-dodecenal|α-farnesene|methionol|viridiflorol|coumarin
Vegetable; tomato leaf; isobutyl thiazole
Vegetable; truffle; hydroxypentanone
Vegetable; turpentine; β-pinene|α-pinene
Vegetable; violet; α-ionone
Vegetable; walnut; 2-octenal|(E)-2-hexenol
Vegetable; wax; nerolidol|2,6-nonadienal
Vegetable; wine; 2-hexenol
Vegetable; wood; α-muurolene|cadina-1,4-dien-3-ol|isocaryophyllene|α-ionone|germacrene B|trans-sabinene hydrate|isodihydrocarveol|β-farnesene|β-sesquiphellandrene|δ-elemene|α-calacorene|germacrene D|bicyclogermacrene|alloaromadendrene|α-thujene|oxo-β-ionone|(-)-γ-elemene|α-guaiene|α-copaene|γ-cadinene|nerolidol|β-eudesmol|α-cadinol|dill apiol|aromadendrene|α-gurjunene|guaiol|α-farnesene|γ-selinene|cuminic alcohol|perillen|elemol|α-humulene|β-caryophyllene|β-guaiene
