Smell word,In hoofdstuk?,Lexical category,Spelling variants,Olfactory Language Category,Valuation,Provenance,Definition,Attestation,
berenlucht,,noun,berenlocht,Odor quality/ Source ,,"Bloemhoff, H., J. Withaar, A. Bloemhoff en T. Bontekoe (2005), Stellingwarfs-Nederlands Verklarend Handwoordenboek (SNVH),","lucht, geur van een beer of mannelijk varken",,
beschimmeld ,,adjective,,Odor quality/ Source ,Malodorous,Brouwer Lexicon,,,
bisamachtig,,adjective,,Odor quality/ Source ,,WNT,,"Truffel, Tuber cibarium (Lycopardon tuber L), eene tot de familie der Gastromycetes behoorende zwamsoort, in knollen van de grootte eens kogels tot die eener vuist voorkomende, zwartachtig, wrattig, inwendig geelagtig-wit, als muscaatnoot geaderd, van eigenaardigen, aangenamen, bisamsachtigen reuk en aromatischen smaak,   v. tricht, Wdb. d. Scheik. [1868].",
bloemig,,adjective,,Odor quality/ Source ,Fragrant,,,,
bosgeur ,,noun,,Odor quality/ Source ,Fragrant,Brouwer Lexicon,,,
braadgeur ,,noun,,Odor quality/ Source ,Fragrant,Brouwer Lexicon,,,
braadlucht ,,noun,,Odor quality/ Source ,Malodorous,Brouwer Lexicon,,,
brandlucht ,,noun,brânlucht,Odor quality/ Source ,Malodorous,Brouwer Lexicon; WNT; Friesch WDB,"De onaangename, scherpe lucht of reuk van brand of van het branden van iet","Het was een felle brand: twee huizen werden geheel in de asch gelegd, en een half uur ver rook men de brandlucht   [1896].; Brandlucht, onaangename lucht of reuk van iets dat brandt",
brandreuk ,,noun,,Odor quality/ Source ,Malodorous,Brouwer Lexicon,,,
broeilucht,,noun,bruuilocht,Odor quality/ Source ,,"Bloemhoff, H., J. Withaar, A. Bloemhoff en T. Bontekoe (2005), Stellingwarfs-Nederlands Verklarend Handwoordenboek (SNVH)","geur van hooibroei; een broeiende lucht; een bewolking, die onweer voorspelt.","""Deze kleine stapels laat men, zoo noodig, tot driemalen toe overstapelen, om de 8 of 10 dagen eens. Dit is echter afhankelijk van de soort van tabak; ligte kwaliteit behoeft minder dan zware op deze kleine stapels overgezet te worden, omdat zware tabak, wegens deszelfs vetdeelen, meer geneigd is tot brocijen en daardoor eene zware broeilucht zou bekomen; hetgeen op de Europesche markt weinig waarde geeft"" (Tijdschrift voor nijverheid in Nederlandsch Indië 1859). Breukelen 2017 (internet): De brandweer van Breukelen is vrijdagmiddag opgeroepen voor een brandgerucht aan de Schepersweg in het dorp. Omwonenden roken een sterke broei lucht en er was rook te zien bij een schip welke afgemeerd lag. De brandweer was snel ter plaatse en ging met een warmtebeeldcamera op onderzoek uit. De grote lading afvalhout bleek inderdaad flink te broeien. Omdat het om een enorme lading gaat heeft de brandweer contact gezocht met de schipper. Hij gaf aan dat het geen kwaad kan en dat dit een normale gang van zaken is. Omwonenden lopen dan ook geen gevaar. De broeilucht veroorzaakt wel een enorme stank. Inwoners van Breukelen zullen hier waarschijnlijk nog de hele kerst mee te maken hebben, omdat de schipper al vertrokken is.. A. den Doolarrd, KLeine mensen in de grote wereld: ""gevuld met de broeilucht van vage verlangens""",
calvariereuk,,noun,kelvarieruük,Odor quality/ Source ,,"Jaspars, G. en H. Fiévez (2006-2008), Woordenboek van het Gronsvelds,", reuk van carbol en chloroform;  zo genoemd naar het vroegere ziekenhuis Calvariënberg te Maastricht) , Es ich dè kelvarie ruúk môt ich altiéd aon 't hospetaol vreuger deenke.,
civets,,adjective,,Odor quality/ Source ,,WNT,met reuk van civet,"(Ieder huis) heeft sijn vuyltjens, sijn' verborgene riolen, Sijn on-Civetsch geheim, sijn' Amberloose holen,   huygens 1, 539 [1661]",
cokeslucht,,noun,"kooksig, kookslucht , kookslōcht",Odor quality/ Source ,,"Molema, H. (1895), Woordenboek der Groningsche Volkstaal in de 19e eeuw ",reuk die de gaskolen (cokes) bij het stoken van zich geven,Hier is zoo’n kookslucht in de koamer = ’t rōkt hier zoo kooksîg.,
dennenlucht ,,noun,,Odor quality/ Source ,,Brouwer Lexicon,,,
etherisch,,adjective,,Odor quality/ Source ,Fragrant,,,,
eumig,,adjective,,Odor quality/ Source ,Malodorous,https://www.pzc.nl/zeeuws-nieuws/wie-kent-nog-zeeuwse-geurwoorden~a9fc343a/?referrer=http%3A%2F%2Fm.facebook.com%2F&fbclid=IwAR1pzzYU1dUAZSU9k6K1UWzFnj3OJuaGevWux3dxccHZ4qZenA0KSLsZfqU&referrer=http%3A%2F%2Fm.facebook.com,,,
floraal,,adjective,,Odor quality/ Source ,Fragrant,,,,
gaslucht ,,noun,,Odor quality/ Source ,,Brouwer Lexicon,,,
gasreuk ,,noun,,Odor quality/ Source ,,Brouwer Lexicon,,,
gehexadecaneeld,,adjective,,Odor quality/ Source ,,Science Journal,afgeleid van feromoon - geurstof hexadecanaal,"""in het spel gingen gehexadecaneelde vrouwen vervolgens hardere straffen uitdelen"" (Science artikel )",
gemirred,,adjective,,Odor quality/ Source ,,WNT,"met mirre gemengd, geurig gemaakt"," (”Ende sy gaven hem gemyrrheden wijn te drincken”, Statenb., Marc. 15, 23 [ed. 1688]",
geparfumeerd ,,adjective,,Odor quality/ Source ,Fragrant,Brouwer Lexicon,,,
gierlucht,,noun,jarrelocht,Odor quality/ Source ,,"Bloemhoff, H., J. Withaar, A. Bloemhoff en T. Bontekoe (2005), Stellingwarfs-Nederlands Verklarend Handwoordenboek (SNVH)","lucht, reuk van gier",,
graflucht ,,noun,,Odor quality/ Source ,Malodorous,Brouwer Lexicon; WNT,De onaangename geur die uit een graf opstijgt.,In die kerk is eene vunze graflucht.   poëem WNT,
harsachtig,,adjective,,Odor quality/ Source ,,WNT,Van een geur. Met den geur of den reuk van hars overeenkomende.,"De frissche, harsachtige lucht die ik met volle teugen inademde,   segers in Ned. Dicht- en Kunsthalle, 1887, 340.",
harsig,,adjective,harstig,Odor quality/ Source ,,WNT,"Van of met betrekking tot een geur. Overeenkomst met den geur, den reuk van hars hebbende; naar hars riekende (harsachtig in de bet. 3). ","Met een harstigen reuk, Chomel, Verv. 6171 a [1793].; Leert reuckich oock den Cederboom somtijt / Doen branden zelf in stallen, en met harstich / Galbanen reuck de Water-slangen lastich /Soo drijven wech. V. Mander, Bucol. 138 [1597].",
harslucht ,,noun,,Odor quality/ Source ,,Brouwer Lexicon,,,
houtlucht ,,noun,,Odor quality/ Source ,,Brouwer Lexicon,,,
huisjeslucht,,noun,husieslocht,Odor quality/ Source ,,"Bloemhoff, H., J. Withaar, A. Bloemhoff en T. Bontekoe (2005), Stellingwarfs-Nederlands Verklarend Handwoordenboek (SNVH)",de stank van een w,,
Jirre,,noun,Jarre (Friesland),Odor quality/ Source ,,Neuswijzer Workshops,Jirre (Groningen) en Jarre (Friesland duiden de geur van modderige sloten aan ,,
kaasachtig,,adjective,,Odor quality/ Source ,,WNT,,"Dat bij het hoesten … purulente of kaasachtige stoffen door neus of mond naar buiten geworpen worden,   Versl. Rijksseruminr. 1904—'5, 181.; Smaak (van zekere kazen) zoetachtig kazig …, reuk kaasachtig,   Versl. Rijkslandbouwproefst. 14, 41.",
kamferachtig,,adjective,,Odor quality/ Source ,,WNT,"Een kleurlooze, doorschijnende, kristallijnen, vluchtige zelfstandigheid, met een bitteren, aromatischen smaak en een sterken, eigenaardigen reuk, verkregen uit het hout van den kamferboom (Laurus Camphora) ","Kleurlooze … kristallen, met kamferachtigen reuk en smaak,   Ned. Pharmacop. 73  (ed. 1915).; Deszelfs bladen (t.w. van den kamferboom) … geeven, als ze gewreven worden, een sterken camferagtigen reuk van zig,   chomel331 b [1768].",
kazig,,adjective,,Odor quality/ Source ,,WNT,Van of met betrekking tot den smaak of den reuk van iets. Op (dien van) kaas gelijkende. ,"Smaak (van zekere kazen) zoetachtig kazig, lijkt op die van Emmenthaler, reuk kazig, iets naar boterzuur,   Versl. Rijkslandbouwproefst. 14, 40.",
kelderachtig,,adjective,,Odor quality/ Source ,,WNT,"Van een reuk, een lucht. Op den reuk van een kelder gelijkende. ","Daar is een kelderachtig luchtje aan dat vleesch, aan die appelen, enz.   poëem WNT",
kelderlucht,,noun,,Odor quality/ Source ,,WNT,"duffe, vunze lucht of reuk, eigen aan een (vochtigen) kelder; ook de lucht, de reuk van iets dat (te) lang in een vochtigen kelder is geweest, kelderige lucht.","De tabak … heeft … wel eens een ouwelijke lucht, een kelderlucht of ruikt soms wel onfrisch of duf,   bertram, Tabak 74 [1896].",
kerkwalm,,noun,,Odor quality/ Source ,,WNT,,"(Mozes) leeft, hij groeit in deugd, in moed, Die straks, voor vunze kerkerwalmen, U Kanâns geuren aêmen doet,   bogaers 1, 59 [1835].",
kina-aroma,,noun,,Odor quality/ Source ,,WNT,"Kina-aroma, het eigenaardig aroma van den kinabast; de kinareuk.","Het was niet mogelijk, in deze wijnen (kinawijnen) alkaloïden aan te toonen, terwijl ze toch het kina-aroma bezaten,   bais e. a., Kina en kinine 8.",
kinafreuk,,noun,,Odor quality/ Source ,,WNT,"de eigenaardige reuk van den kinabast, het kina-aroma.","Bij langdurige bewaring verdwijnt de kinareuk (van den kinabast),   Ned. Pharmacop.ᬳ (ed. 1915) 117.",
knoflookachtig,,adjective,lookachtig,Odor quality/ Source ,,WNT,Een knoflookachtige reuk,"Lookachtig (”Bol, cop, oft hooft, … is al t'gene dat in de ronde wtbuylt, oft als eenen cloot wast. T'gemeen volck verstaet daer mede oock alle ronde ende loocachtige wortelen; die int Latijn Bulbi ofte Bulbosa genoemt worden”, dodon. 7 b [ed. 1608]; ”Stoot gheherst witbroot met Amandelen in eenen Loockachtighen mortier”, Koockb. 64 [1599]; ”Hier na en ruyctmen niet Loockachtich”, 65; ”De Plant heeft een Lookachtigen Reuk”, houttuyn, Nat. Hist. II, 12, 210 [1780]).",
koelucht,,noun,,Odor quality/ Source ,,WNT,"Koelucht, 1°. reuk dien de koe verspreidt.; 2°. Sterke reuk, door het op het water drijvende zeewier des zomers veroorzaakt.","Hoe niet iedereen op rozengeur gesteld is bewijst de naam van Koelucht, aan een hofstede bij Zalk aan den Ysel gegeven,   v. lennep en ter gouw, Uithangt. 2, 397; Onze kustvisschers schrijven de oorzaak (van het trekken der schollen) … toe aan de sterke lucht (door hen koelucht genoemd), die het in den zomer groeijende en op het water drijvende zeewier verspreidt,   schlegel, Visschen 161  (zie ook bly, Zee-Vissch.)",
krenglucht,,noun,,Odor quality/ Source ,,WNT,,"Krenglucht (”Het vervolgen van een gier beloont de moeite niet, want het vleesch bezit eene te sterke krenglucht om eetbaar te zijn”, burgersdijk, Dieren 2, 140 [1869])",
Landesluft,,noun,,Odor quality/ Source ,,Neuswijzer Workshops,Groningen,,
lijfreuk,,noun,,Odor quality/ Source ,,WNT,eigenaardige reuk aan het lichaam,"Dieë vent hee' 'nen arige' lijfreuk”, corn.-vervl. 2247; ook bij joos [1900-1904]",
lijklucht ,,noun,lijkgeur,Odor quality/ Source ,Malodorous,Brouwer Lexicon,,"”Slechts waar een raaf haar nest ontvlucht, Als haar de lijklucht tegenstinkt, Die door dien lauwen dampkring dringt, Verneemt het oor haar wiekgeklep”, beets 1, 441 [1836]; ”Dat er geen begraving van een afgestorvene zal plaats hebben vóór dat zich bij het lijk de cadavereuse stank of lijklucht geopenbaard heeft als bewijs, dat het ontbindingsproces is ingetreden”, westerhoff, in Hand. d. St.-Gener.1868—'69, Tw. K. 903 a; zie ook v. lennep, O. en N. Ged. 104; ter haar, Ged. 2, 208 [1849]",
lijkreuk,,noun,,Odor quality/ Source ,Malodorous,,"1. reuk door een lijk verspreid, 2. reukwerk ter eere van een overledene gebruikt ","”Blijft een lijk nog langer liggen, dan … (wordt) de aanvankelijk zwakke lijkreuk … walgingwekkend”, winkler prins, Encyclop.² 10, 202 b); 2°. reukwerk ter eere van een overledene gebruikt (”Wat bloemen; wat offerhanden, wat lijkreuken zullen wy op zijn graf stroojen?” brandt bij hooft, Br. 4, 445 [1647]",
mensenlucht,,noun,meenskelocht,Odor quality/ Source ,,"Bloemhoff, H., J. Withaar, A. Bloemhoff en T. Bontekoe (2005), Stellingwarfs-Nederlands Verklarend Handwoordenboek (SNVH),",geur van mensen,,
mirre-riekend,,adjective,Myrrhe-riekend ,Odor quality/ Source ,,WNT,,"Neemt … welrieckende specerijen, Myrrhe-sap …, ende suyveren wieroock,   Statenb., Exod. 30, 34 [ed. 1688].",
modderlucht ,,noun,,Odor quality/ Source ,Malodorous,Brouwer Lexicon,,,
muisachtig,,adjective,,Odor quality/ Source ,,WNT,,"Vogeldood, het conium maculatum of de gemeene scheerling, eene soort van het plantengeslacht conium van L. …; het heeft een gladden, slechts ligt gegroefden stengel, verspreidt eenen muisachtigen … reuk, en komt allerwege in Europa, vooral op puinachtigen grond of bouwvallen, als onkruid voort; plant en zaad bevatten het alkaloïde, dat in de scheikunde onder den naam van coniin bekend is,   w. geysbeek, Wdb. Zam. [1856].",
muizenlucht,,noun,moezelocht,Odor quality/ Source ,,"Bloemhoff, H., J. Withaar, A. Bloemhoff en T. Bontekoe (2005), Stellingwarfs-Nederlands Verklarend Handwoordenboek (SNVH),",geur van muizen,,
muizenpisserig,,adjective,moezepisserig,Odor quality/ Source ,,"Bloemhoff, H., J. Withaar, A. Bloemhoff en T. Bontekoe (2005), Stellingwarfs-Nederlands Verklarend Handwoordenboek (SNVH),",met de geur van muizenurine,,
muskusgeur ,,noun,muscusgeur,Odor quality/ Source ,Fragrant,Brouwer Lexicon; WNT,,"Rechts en links groeien bloemen en kruiden …; bloemen die ons lief zijn: hier de nederige zonder roem, met de fijne muskus-geur;daar het zegenkruid enz.,   snieders 32, 119  (ed. 1878).; In het stelsel Linnaeus-Zwaardemaker worden 9 klassen (van geuren) aangenomen: 1. aetherische geuren, zooals chloroform en aether. 2. aromatische geuren, waartoe kamfer en terpentijn. 3. welriekende geuren, waartoe de aangename bloemengeuren. 4. muskusgeuren enz.,   Natuurk. Voordr. N.R. 13, 63 [1935].; Een vrouw als een bloem, zijn lichaam hunkert er naar haar te plukken. Een kunstbloem, met een nagemaakte muskusgeur, een roos van fluweel,   mens, Godt alleen d'eere 140 [1957].",
muskuslucht,,noun,,Odor quality/ Source ,,WNT,,"Voorondersteld dat de Sinezen hunnen inkt alleen van het vocht der zeekatten maakten, en dat dit vocht een' amber- of muskusreuk heeft, waarom bezit dan alle Sinesche inkt dezelfde muskuslucht niet?   v.d. vuurst, Verfw. 154 [1819].; Niets ontsnapt aan dat monster (t.w. den inktvisch), als eenmaal de vangarmen de prooi te pakken hebben, terwijl een sepia-achtige vloeistof wordt afgescheiden …. Die vloeistof heeft een sterke muskuslucht,   Natuur en Vernuft 1, 139 b [1916].",
muskusreuk ,,noun,muscusreuk,Odor quality/ Source ,Fragrant,Brouwer Lexicon; WNT,,"Alleen die Muskus, welke in den handel als Tonkineesche wordt aangeduid, en die uit Tibet afkomstig is, mag gebruikt worden,   Ned. Pharmacop. 260.; De Siberische muscus is minder gezocht dan die van Tibet of Indië,   burgersdijk, Dieren 1, 351 [1864].; Als de muscus versch is, maakt hij eene zalfachtige massa uit en later wordt hij korrelig; de kleur is donkerbruin,   burgersdijk, Dieren 1, 351 [1864]. Den reuck der bloemen …, Suter dan balsem … Dan Styrax, Musk', oft Ambre grijs,   v. d. noot 78. D'ambre en t'musscq d'welck ghy aen u gewaden hingt, Numann, Sp. d. Mensch. 94. De geur van de musk en sivet,   hooft, Mengelw. 426.
De Wieroock …, De Mirrhe …, Musc, Ambre, scharp Civet, Hooft, Ged. 2, 169 [1605].
De hantschoen rieckt van musk, Vondel 7, 622 [1657]. Zoo leuyheyd een goeden reuck hadde, men vond kloosters van enkel muscus en civette,  De brune, Bank. 2, 250 [1658].
De muscus off cevet, die sommighe (der inboorlingen) aen den hals dragen, V. riebeeck, Dagverh. 1, 304 [1654].; 2 Kasjes Besarstenen, Muscus, Ambregris, Holl. Merc. 1653, 94 b [1659].; 280 catty Tonquinse Muscus, 1671, 74.; Dat u nu muskus lykt, zal flus slimmer stinken als traan, v. halmael 4ᴣ, 24.; De muscus die in Holland verkogt wordt, brengt men uit Tunquin, uit Bengalen, ook wel uit Muscovie, Chomel 2219 b [1771].; Over eenige jaaren … gebruikte men tot verveelens toe de muscus in allerlei dranken, smeeringen en clijsteeren. Thans wordt ze nauwlijks meer voorgeschreeven, en dient alleen om eenige reuk-werken, een weinig aan te zetten, Chomel 2219 b [1771].; Een ontzenuwend parfum van musc en opoponax, Couperus, E. Vere 2, 102 [1889]. ",
nagelreuk,,noun,kruidnagellucht,Odor quality/ Source ,,WNT,,"Zommige, niet alle, Bezien, krygen aan de eene kant, als de Vrugt ontrent als een Haze-noot is, een uitwasch van een fyne drooge geele stoffe …, bedekkende met 'er tyd de groene schille …, en de schille werd eenigzins kraakbeenagtig, krygende een Nagel-smaak en reuk,   valentijn, O.-I.III, 1, 210 [1726].",
nestgeur,,noun,,Odor quality/ Source ,,,,,
offergeur,,noun,,Odor quality/ Source ,,WNT,,"'k Zach u t'zaam, Ten tempel treeden in, om … Astarte, en Astaroth, met Offergeur te payen, En 't goude wierook vat, hun godtheen toe te swayen,   asselijn, Samaria 56 [1695].",
paardenlucht,,noun,,Odor quality/ Source ,,WNT,reuk die van paarden uitgaat.,,
pekgeur,,noun,pikreuk,Odor quality/ Source ,,,,,
pestlucht ,,noun,pestgeur,Odor quality/ Source ,Malodorous,WNT,"1°. verpeste lucht, met pest besmette luchtdeelen, pestdamp. 2°. Ondraaglijke stank.","1. De Turken … wierden op het openen van een Wolbaal, terstond door de Pestlucht die zij inademden, gedood, Chomel 2669 a [1773].; Om dat de Pest-lucht niet verre zich verspreidt, ten waare er groote wind bijkwam,   2672 a. 2. 't Folterend vermogen Der pestlucht die dit hol (t.w. een gevangenis) zoo ijslijk maakt, v. lennep, O. en N. Ged. 68",
pestwalm,,noun,peststank,Odor quality/ Source ,Malodorous,WNT,,"Wat ziet ge? een pestwalm rijst uit giftige moerassen,   helmers, Nag. Ged. 1, 4.; 's Adels heerschappij, Die, als een hydra, en uit meer dan honderd kaken Den schrikb'ren pestwalm der verdrukking neer komt braken,   v. lennep, Poët. 8, 55 [1821].; Theaagnes was 't, die …, 't Rumoer der rooverhorde ontvlugt, Den pestwalm van hun kluis ontweken, Veraadming zocht in reiner lucht,   ter haar, Joann. en Theag. 48.; Die angstvol starenden, (zijn) zij, die zich vragen: Dronk ik zijn pestwalm (t.w. dien van de cholera) met dees teug mijns adems in 't hart niet?   v. beers 2, 270 [1868]",
petroleumlucht,,noun,pietereulielocht,Odor quality/ Source ,,"Kocks, G.H. (1996-1997), Woordenboek van de Drentse Dialecten (WDD), ", geur van petroleum ,In dat hoes hung aaid zo’n pietereulielocht (Emm),
piklucht,,noun,peklucht,Odor quality/ Source ,Malodorous,WNT,,Wat is hier een piklucht.   poëem WNT,
pisachtig,,adjective,,Odor quality/ Source ,,,,,
pislucht,,noun,pisreuk,Odor quality/ Source ,Malodorous,WNT,de eigenaardige reuk die pis van zich geeft.,Wat is hier een pislucht.   poëem WNT,
pismuffig,,adjective,,Odor quality/ Source ,Malodorous,WNT,,"De Artsen (zijn) meestentijd besmettelijk, en van de gehandelde pis en drek, stinkende, pismuffig, en drekvunsch,   oudaan, Agrippa 382.",
plantengeur,,noun,,Odor quality/ Source ,,WNT,,"Het ademen van de zelfde lucht en plantengeur als de geslachten der oudheid,   vosmaer, Amaz.¹ 134.",
reeuwgeur,,noun,,Odor quality/ Source ,Malodorous,WNT,lijklucht,"Hij … begon aan de kist te rukken. Vergeefs. Hij zette de spade in een voeg tusschen de planken en wrikte deze los. Een reeuwgeur sloeg hem tegen,   broekaert, Jan Palfijn 86 [1936].",
reeuwlucht,,noun,,Odor quality/ Source ,Malodorous,WNT,lijklucht,"Alles had hier 't uitzicht van eene sterfkamer — de reeuwlucht ademde men met den reuk der brandende waskeersen,   streuvels, Vlaschaard246 [1907]",
resedageur,,noun,,Odor quality/ Source ,fragrant,WNT,,"Heb je ook niet, dat sommige tonen de gedachte aan een geur bij je opwekken, bij voorbeeld opoponax of réséda? Orgeltonen zijn net als wierook, Couperus, E. Vere 1, 240 [1889]; Zijn lang, gladgeschoren gezicht was wit van 't poeder en hij rook zeer straf naar reseda, Thiry, Hofken v. Ol. 112 [1925].; Wie zou ik ooit binnenvoeren in mijn klein domein waar alles in gereedheid was gebracht, het bed gespreid, geurige reseda voor de toiletspiegel en een kaars die door zijn vlam wordt verteerd?   v. beek, Hand b. d. O. 198 [1960].; Voor haar koos ik een flacon parfum Lucien Lelong. — Wat is haar smaak, meneer? — Niet te uitbundig, mademoiselle, een vriendelijke geur. Met een stift bracht zij de geuren van alle bloemen ter wereld over op mijn hand, rozen, seringen, reseda, radeloos snoof ik de aromen, 213.",
rioolstank,,noun,,Odor quality/ Source ,Malodorous,WNT,,"Het Amsterdamsche water ontvangt van duizend en duizend riolen en riooltjes eenen slechten reuk,   weil.; (Ieder huis) heeft sijn vuyltjens, sijn' verborgene riolen, Sijn on-Civetsch geheim, sijn' Amberloose holen,   huygens 1, 539 [1661].; De Keirel sou my cuysschen al waert dat ick in een Riool stack Want men vont noyt leelijck Lief, Ogier, Seven Hoofts. 173 [1647].; Zóó veel verstand hebben zij (zekere schrijvers), dat zij gevoelen, dat het talent der beschrijving die dingen smakelijk moet maken; maar men sla dat talent niet te hoog aan! Een riool is een riool en niets meer, Geel 236 [1835].; Op den bovensten trap van een kelder … onder den frisschen adem van een stinkend riool, Beets, C.O. 25 [1839].; Wat zijn … Haar herten? Nesten van veel pyn enz. … Haer keelen? Open stanck-ryolen En sonden-holen,   camphuyzen, Ps. 5, 11 [c. 1626].",
roetlucht ,,noun,,Odor quality/ Source ,Malodorous,Brouwer Lexicon,,,
rokerig ,,adjective,"Roockachtich, roockich",Odor quality/ Source ,Malodorous,Brouwer Lexicon; WNT,rookachtig,"Eene schijf glas, een stuk wit papier of tegel, wordt door den walm van eene vetkaars rookerig gemaakt,   c. de jong, Handwdb. 452 a [1869]. Dikke, scherpe walmen van rookerige vuurtjes,   jaspers in colijn, N.I. 1, 166 [1911].",
rookachtig ,,adjective,"Roockachtich, roockich",Odor quality/ Source ,Malodorous,Brouwer Lexicon; WNT,"Rook hebbend, verspreidend enz., of ook: naar rook zweemend (in kleur, reuk of smaak).","Door-druypende, donckere, allen Winden onderworpene, roockachtighe … Huysen,   erasmus, Coll. Fam. 193 b.",
rooklucht ,,noun,,Odor quality/ Source ,Malodorous,Brouwer Lexicon,,,
rotlucht ,,noun,rotlocht,Odor quality/ Source ,Malodorous,"Brouwer Lexicon; WNT; Bloemhoff, H., J. Withaar, A. Bloemhoff en T. Bontekoe (2005), Stellingwarfs-Nederlands Verklarend Handwoordenboek (SNVH)",rotlucht: vreselijke stank,,
rozengeur ,,noun,,Odor quality/ Source ,,WNT,De geur van rozen.,"Thans fladdert … op bedauwde wieken, De westewind mij rozengeuren aan, Nieuwland, Nag. Ged. 4.; Een zachte rozengeur golft over 't jeugdig land, Helmers, Holl. N. 59 [ed. 1814].; De aan hetzelve (rozenhout) bijzonder eigene rozengeur openbaart zich eerst bij het raspen of doorzagen, Ned. Handelsmag. 1049 b [1843].; Rozenwater … ontvangt eerst dan zijnen rozengeur, wanneer het eenigen tijd op eene koele plek heeft gestaan,   1050 a.; De rozenbok … heeft zijnen naam … te danken … aan eenen sterken geur, … dien men … met rozengeur vergelijken kan,   snellen v. vollenh., Gel. Dieren 230.; Afl. Rozengeurig (”Reuk (van de rozenhoutolie): rozengeurig, doch veel geringer dan bij de rozenolie”, Ned. Handelsmag. 1049 b [1843]); waarnaast roosgeurig (”Rozenhout …, roosgeurig riekend”, kuyper, Technol. 1, 672).",
schimmelig,,adjective,,Odor quality/ Source ,,,,,
solferdamp,,noun,sulfurwasem,Odor quality/ Source ,,WNT,zwavelachtig,"”'k Zag hier de aarde in brand. Een sulferwaassem steeg, De meiren kookten”, bild. 8, 393 [1787]",
sulferachtig,,adjective,"Sulderig; Solferachtig; Solfer-achtigh. Sulphuraceus, sulphureus",Odor quality/ Source ,,WNT,zwavelachtig,"Het op deeze wijze bereidde Azijnzuur is niet alleen van alle vreemde bijmengselen, alsmede van den sulphureusen en brandenden reuk bevrijd, maar heeft enz.,   kasteleijn, Chem. Oef. 2, 39 [1793].",
teerlucht,,noun,,Odor quality/ Source ,,WNT,"Teerlucht, reuk van teer",,
terpentijnachtig,,adjective,,Odor quality/ Source ,,WNT,,"”De duitsche terpentijn … riekt eigendommelijk terpentijnachtig”, Ned. Handelsmag. 1178 b [1843]",
traanachtig,,adjective,,Odor quality/ Source ,,WNT,,"Dat men de Sperma Ceti … met Omphacium of Verjuis afwasschen en doorperssen moet, om haar de traanachtige reuk te beneemen,   zorgdrager, Groenl. Vissch. 110 [ed. 1727].",
vanillegeur,,adjective,,Odor quality/ Source ,,WNT,,"(De vanilline) vormt kleurlooze naaldjes, met krachtigen vanieljegeur,   v. gorkom, Cacao en Vanielje 40 [1901].; B. stond bij de weegschaal, kraak in 't wit, in zijn boterbanketlucht en vanielje-geuren,   v. looy, Jaapje 4 [ed. 1917].",
wierookgeur ,,noun,,Odor quality/ Source ,Fragrant,Brouwer Lexicon,,,
wierookwalm ,,noun,,Odor quality/ Source ,Fragrant,Brouwer Lexicon,,,
wierookwolk ,,noun,,Odor quality/ Source ,Fragrant,Brouwer Lexicon,,,
wijnreuk ,,noun,,Odor quality/ Source ,Fragrant,Brouwer Lexicon,,,
zaadlucht,,noun,aura seminalis,Odor quality/ Source ,,WNT,eert. verondersteld vluchtig bestanddeel van het sperma dat de bevruchting zou bewerkstelligen,"Men kende de spermatozoïden niet en nam daarom vaak een ”saadlugt” aan, bij v. leeuwenhoek, Br. 5, 150 [aangeh. woord c. 1685].; De Vrouwen hebben … een Eyer-weg, (welke Fallopius de Trompet benaamt) door welke 't vlugtigste gedeelte des Saadts, (welk wy een Saadt-lugt hieten) in de Lijf-moeder uyt-gestort, tot de Ballen, en Eyeren in deselve besloten, op-klimmen kan, R. de graaf, Wercken 307 [vert. 1686].; Dat men nootsakelijk wel, om der Eyeren bevrugtinge uyt te leggen, een Saadt-lugt moet te baat neemen; 't welk soo men ons toe-staat, schijnt daar weynig of niet aan geleegen te sijn, of deese damp uyt de Trompetten, ofte uyt de Lijf-moeder, of Scheede selfs is voortkomende,   329 [vert. 1686].; Hy had bemerkt dat … de mannekens eenen sterken reuk van hun geven; waer uyt hy hem inbeelde dat dien reuk eene uytwademing was van het aura seminalis …, het welke, 't lyf van de Koninginnen doortrekkende, hun aldus vrugtbaer maekte,   de grave, Biën 23 [1816].; Het Latijnse begrip 'aura seminalis' is het product van wetenschappelijke spevulatie. Het door Pythagoras geïntroduceerde concept is tot het midden van de 19de eeuw in de biologie meegegaan. 'Aura seminalis' staat voor de geur van het mannelijke zaad een geur waarvan aangenomen werd dat hij bij de bevruchting een veel belangrijkere rol speelde dan het zaad zelf: 'aura seminalis' geeft het leven en verwekt de geest. Als titel van Peter De Cupere's installatie leest de term als een statement.",
zwavelachtig,,adjective,,Odor quality/ Source ,,WNT,,"De blixems en de Donderslagen des lugts (geven) een zwavelachtige reuk van zich, en het licht des Blixems en der weerlichten is zwavelachtig,   v. ranouw, Kab. 1, 66 [1719].",
zwavelig,,adjective,,Odor quality/ Source ,,WNT,,"Men heeft … menigmaal bij een onweder een vuurbol zien nederdalen, die zich langzaam over de oppervlakte van den grond voortbeweegt, de huizen binnendringt, meestal door een openstaand venster of door den schoorsteen verdwijnt en een oogenblik daarna met eene hevige ontploffing, die somwijlen groote verwoestingen aanricht, uiteenbarst, dien eigenaardigen, zwavelachtigen reuk nalatende, welke steeds het inslaan van den bliksem vergezelt,   bosscha § 763 [1887].",
